sentimen,tweet,tweet_lowercase,tweet_tokenized,tweet_stemmed,tweet_process
negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦","Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦","['Kata', '@prabowo', 'Indonesia', 'tidak', 'dihargai', 'bangsa', 'asing', '!', 'Berita', 'ini', 'ðŸ', '‘', '‡', 'pasti', 'hoax', 'buatan', 'penguasa', ',', 'ya', 'kan', '@rockygerung', '?', 'ðŸ', '˜', 'œ', 'https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â', 'â', '€', '¦']","['kata', 'prabowo', 'indonesia', 'tidak', 'harga', 'bangsa', 'asing', '', 'berita', 'ini', '', '', '', 'pasti', 'hoax', 'buat', 'kuasa', '', 'ya', 'kan', 'rockygerung', '', '', '', '', 'https twitter com mediaindonesia status 1117575436337160192 s 21', '', '', '']",kata prabowo indonesia tidak harga bangsa asing  berita ini    pasti hoax buat kuasa  ya kan rockygerung      twitter com mediaindonesia status  s    
netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ","Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ","['Batuan', 'Langka', ',', 'Tasbih', 'Jokowi', 'Hadiah', 'dari', 'Habib', 'Luthfi', 'Seharga', 'Mercy', '?', 'http://dlvr.it/R2pvZVÂ']","['batu', 'langka', '', 'tasbih', 'jokowi', 'hadiah', 'dari', 'habib', 'luthfi', 'harga', 'mercy', '', 'http dlvr it r2pvzv']",batu langka  tasbih jokowi hadiah dari habib luthfi harga mercy  http dlvr it rpvzv
netral,"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp","Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp","['Di', 'era', 'Jokowi', ',', 'ekonomi', 'Indonesia', 'semakin', 'baik', '.', '#01IndonesiaMaju', '#JokowiLagi', '#JokowiMenangTotalDebat', 'pic.twitter.com/W2ythnxsTp']","['di', 'era', 'jokowi', '', 'ekonomi', 'indonesia', 'makin', 'baik', '', '01indonesiamaju', 'jokowilagi', 'jokowimenangtotaldebat', 'pic twitter com w2ythnxstp']",di era jokowi  ekonomi indonesia makin baik  indonesiamaju jokowilagi jokowimenangtotaldebat pic twitter com wythnxstp
positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!","Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!","['Bagi', 'Sumatera', 'Selatan', ',', 'Asian', 'Games', 'berdampak', 'pd', 'ekonomi', 'langsung', 'diprediksi', 'mencapai', '18,5', 'triliun', '.', 'Indonesia', 'maju', ',', 'Jokowi', 'hebat', '!']","['bagi', 'sumatera', 'selatan', '', 'asi', 'games', 'dampak', 'pd', 'ekonomi', 'langsung', 'prediksi', 'capai', '18 5', 'triliun', '', 'indonesia', 'maju', '', 'jokowi', 'hebat', '']",bagi sumatera selatan  asi games dampak pd ekonomi langsung prediksi capai   triliun  indonesia maju  jokowi hebat 
negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak","Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak","['Negara', 'kita', 'ngutang', 'buat', 'bngun', 'infrastruktur', 'yang', 'udah', 'dipake', 'masyarakat', ',', 'terus', 'masyarakatnya', 'ngeluh', 'karena', 'negara', 'ngutang', ',', 'setiap', 'negara', 'itu', 'pasti', 'ngutang', ',', 'utang', 'bisa', 'dibayar', 'kalo', 'negara', 'dapet', 'penghasilan', '.', 'Penghasilan', 'negara', 'itu', 'ya', 'dari', 'pajak']","['negara', 'kita', 'ngutang', 'buat', 'bngun', 'infrastruktur', 'yang', 'udah', 'dipake', 'masyarakat', '', 'terus', 'masyarakat', 'ngeluh', 'karena', 'negara', 'ngutang', '', 'tiap', 'negara', 'itu', 'pasti', 'ngutang', '', 'utang', 'bisa', 'bayar', 'kalo', 'negara', 'dapet', 'hasil', '', 'hasil', 'negara', 'itu', 'ya', 'dari', 'pajak']",negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat  terus masyarakat ngeluh karena negara ngutang  tiap negara itu pasti ngutang  utang bisa bayar kalo negara dapet hasil  hasil negara itu ya dari pajak
netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi","Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi","['Yg', 'bisikin', 'pak', 'jokowi', ',', 'cm', 'mikirin', 'perputaran', 'duit', 'di', 'golongan', 'tertentu', '.', 'E-Sports', 'hanya', 'sebagian', 'kecil', 'dr', 'sekian', 'besar', 'penentu', 'pertumbuhan', 'perekonomian', 'Indonesia', ',', 'bukan', 'hal', 'fundamental', '.', 'Betul', 'yg', 'dikatakan', 'prabowo', ',', 'walau', 'dgn', 'bhs', 'yg', 'sederhana', ',', 'tp', 'mrpkan', 'aspek', 'fundamental', 'ekonomi']","['yg', 'bisikin', 'pak', 'jokowi', '', 'cm', 'mikirin', 'putar', 'duit', 'di', 'golong', 'tentu', '', 'e-sports', 'hanya', 'bagi', 'kecil', 'dr', 'sekian', 'besar', 'tentu', 'tumbuh', 'ekonomi', 'indonesia', '', 'bukan', 'hal', 'fundamental', '', 'betul', 'yg', 'kata', 'prabowo', '', 'walau', 'dgn', 'bhs', 'yg', 'sederhana', '', 'tp', 'mrpkan', 'aspek', 'fundamental', 'ekonomi']",yg bisikin pak jokowi  cm mikirin putar duit di golong tentu  esports hanya bagi kecil dr sekian besar tentu tumbuh ekonomi indonesia  bukan hal fundamental  betul yg kata prabowo  walau dgn bhs yg sederhana  tp mrpkan aspek fundamental ekonomi
positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,"['Masa', 'tenang', 'msih', 'ngoceh', 'aja', '..', 'ttp', 'jokowi', 'harga', 'mati', '...']","['masa', 'tenang', 'msih', 'ngoceh', 'aja', '', 'ttp', 'jokowi', 'harga', 'mati', '']",masa tenang msih ngoceh aja  ttp jokowi harga mati 
positif,"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS","#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS","['#UASdifitnahKejiBalasDiTPS', 'kerjasa', 'ekonomi', 'bilateral', ',', 'multilateral', 'kita', 'doakan', 'di', 'TPS', 'sambil', 'dengarkan', 'suara', 'hati', '...', '#UASdifitnahKejiBalasDiTPS']","['uasdifitnahkejibalasditps', 'kerjasa', 'ekonomi', 'bilateral', '', 'multilateral', 'kita', 'doa', 'di', 'tps', 'sambil', 'dengar', 'suara', 'hati', '', 'uasdifitnahkejibalasditps']",uasdifitnahkejibalasditps kerjasa ekonomi bilateral  multilateral kita doa di tps sambil dengar suara hati  uasdifitnahkejibalasditps
netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘","Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘","['Iya', 'bener', 'Aa', ',', 'kita', 'MANTAP', 'kan', 'pilihan', 'ke', 'Pemimpin', 'yg', 'bs', 'memberi', 'Solusi', '@jokowi', 'bukan', 'yg', 'menyalahkan', 'pemimpin', 'sebelumnya', '@SBYudhoyono', 'dismash', 'sm', 'mas', 'Bowo', ',', 'percuma', 'koalisi', 'klau', 'mengantam', 'tmn', 'koalisi', 'ðŸ', '˜', '‚', '&', 'yg', 'plg', 'penting', 'pilih', 'Pemimpin', 'yg', 'Rajin', 'Ibadah', 'Wajib', ',', 'Bisa', 'NGAJI', '&', 'JumatanðŸ', '™', '\x8f', 'ðŸ', '‘', '\x8d']","['iya', 'bener', 'aa', '', 'kita', 'mantap', 'kan', 'pilih', 'ke', 'pimpin', 'yg', 'bs', 'beri', 'solusi', 'jokowi', 'bukan', 'yg', 'salah', 'pimpin', 'belum', 'sbyudhoyono', 'dismash', 'sm', 'mas', 'bowo', '', 'percuma', 'koalisi', 'klau', 'mengantam', 'tmn', 'koalisi', '', '', '', '', 'yg', 'plg', 'penting', 'pilih', 'pimpin', 'yg', 'rajin', 'ibadah', 'wajib', '', 'bisa', 'ngaji', '', 'jumat', '', '', '', '', '']",iya bener aa  kita mantap kan pilih ke pimpin yg bs beri solusi jokowi bukan yg salah pimpin belum sbyudhoyono dismash sm mas bowo  percuma koalisi klau mengantam tmn koalisi     yg plg penting pilih pimpin yg rajin ibadah wajib  bisa ngaji  jumat     
negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,"['Prabowo-Sandi', 'Sepakat', 'Tak', 'Ambil', 'Gaji', 'karena', 'Negara', 'Sedang', 'Susah', 'https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ', 'â', '€', '¦', '.. ...', '#GoAceh']","['prabowo-sandi', 'sepakat', 'tak', 'ambil', 'gaji', 'karena', 'negara', 'sedang', 'susah', 'https www goaceh co artikel serbaserbi 2019 04 14 prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah utm source dlvr it utm medium twitter', '', '', '', '', 'goaceh']",prabowosandi sepakat tak ambil gaji karena negara sedang susah  www goaceh co artikel serbaserbi    prabowosandisepakattakambilgajikarenanegarasedangsusah utm source dlvr it utm medium twitter     goaceh
