sentimen,tweet,tweet_tokenized,tweet_no_stopwords,tweet_stemmed,tweet_process
negatif,kata  indonesia tidak dihargai bangsa asing   berita ini  pasti hoax buatan penguasa ya kan  ,"['kata', '@prabowo', 'indonesia', 'tidak', 'dihargai', 'bangsa', 'asing', '!', 'berita', 'ini', 'ðÿ', '‘', '‡', 'pasti', 'hoax', 'buatan', 'penguasa', ',', 'ya', 'kan', '@rockygerung', '?', 'ðÿ', '˜', 'œ', 'https://twitter.com/mediaindonesia/status/1117575436337160192?s=21â', 'â', '€', '¦']","['@prabowo', 'indonesia', 'dihargai', 'bangsa', 'asing', '!', 'berita', 'ðÿ', '‘', '‡', 'hoax', 'buatan', 'penguasa', ',', 'ya', '@rockygerung', '?', 'ðÿ', '˜', 'œ', 'https://twitter.com/mediaindonesia/status/1117575436337160192?s=21â', 'â', '€', '¦']","['prabowo', 'indonesia', 'harga', 'bangsa', 'asing', '', 'berita', '', '', '', 'hoax', 'buat', 'kuasa', '', 'ya', 'rockygerung', '', '', '', '', 'https twitter com mediaindonesia status 1117575436337160192 s 21', '', '', '']",prabowo indonesia harga bangsa asing  berita    hoax buat kuasa  ya rockygerung     https twitter com mediaindonesia status 1117575436337160192 s 21   
netral,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy  ,"['batuan', 'langka', ',', 'tasbih', 'jokowi', 'hadiah', 'dari', 'habib', 'luthfi', 'seharga', 'mercy', '?', 'http://dlvr.it/r2pvzvâ']","['batuan', 'langka', ',', 'tasbih', 'jokowi', 'hadiah', 'habib', 'luthfi', 'seharga', 'mercy', '?', 'http://dlvr.it/r2pvzvâ']","['batu', 'langka', '', 'tasbih', 'jokowi', 'hadiah', 'habib', 'luthfi', 'harga', 'mercy', '', 'http dlvr it r2pvzv']",batu langka  tasbih jokowi hadiah habib luthfi harga mercy  http dlvr it r2pvzv
netral,di era jokowi ekonomi indonesia semakin baik indonesiamaju jokowilagi jokowimenangtotaldebat pictwittercomwythnxstp,"['di', 'era', 'jokowi', ',', 'ekonomi', 'indonesia', 'semakin', 'baik', '.', '#01indonesiamaju', '#jokowilagi', '#jokowimenangtotaldebat', 'pic.twitter.com/w2ythnxstp']","['era', 'jokowi', ',', 'ekonomi', 'indonesia', '.', '#01indonesiamaju', '#jokowilagi', '#jokowimenangtotaldebat', 'pic.twitter.com/w2ythnxstp']","['era', 'jokowi', '', 'ekonomi', 'indonesia', '', '01indonesiamaju', 'jokowilagi', 'jokowimenangtotaldebat', 'pic twitter com w2ythnxstp']",era jokowi  ekonomi indonesia  01indonesiamaju jokowilagi jokowimenangtotaldebat pic twitter com w2ythnxstp
positif,bagi sumatera selatan asian games berdampak pd ekonomi langsung diprediksi mencapai  triliun indonesia maju jokowi hebat,"['bagi', 'sumatera', 'selatan', ',', 'asian', 'games', 'berdampak', 'pd', 'ekonomi', 'langsung', 'diprediksi', 'mencapai', '18,5', 'triliun', '.', 'indonesia', 'maju', ',', 'jokowi', 'hebat', '!']","['sumatera', 'selatan', ',', 'asian', 'games', 'berdampak', 'pd', 'ekonomi', 'langsung', 'diprediksi', 'mencapai', '18,5', 'triliun', '.', 'indonesia', 'maju', ',', 'jokowi', 'hebat', '!']","['sumatera', 'selatan', '', 'asi', 'games', 'dampak', 'pd', 'ekonomi', 'langsung', 'prediksi', 'capai', '18 5', 'triliun', '', 'indonesia', 'maju', '', 'jokowi', 'hebat', '']",sumatera selatan  asi games dampak pd ekonomi langsung prediksi capai 18 5 triliun  indonesia maju  jokowi hebat 
negatif,negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang  utang bisa dibayar kalo negara dapet penghasilan penghasilan negara itu ya dari pajak,"['negara', 'kita', 'ngutang', 'buat', 'bngun', 'infrastruktur', 'yang', 'udah', 'dipake', 'masyarakat', ',', 'terus', 'masyarakatnya', 'ngeluh', 'karena', 'negara', 'ngutang', ',', 'setiap', 'negara', 'itu', 'pasti', 'ngutang', ',', 'utang', 'bisa', 'dibayar', 'kalo', 'negara', 'dapet', 'penghasilan', '.', 'penghasilan', 'negara', 'itu', 'ya', 'dari', 'pajak']","['negara', 'ngutang', 'bngun', 'infrastruktur', 'udah', 'dipake', 'masyarakat', ',', 'masyarakatnya', 'ngeluh', 'negara', 'ngutang', ',', 'negara', 'ngutang', ',', 'utang', 'dibayar', 'kalo', 'negara', 'dapet', 'penghasilan', '.', 'penghasilan', 'negara', 'ya', 'pajak']","['negara', 'ngutang', 'bngun', 'infrastruktur', 'udah', 'dipake', 'masyarakat', '', 'masyarakat', 'ngeluh', 'negara', 'ngutang', '', 'negara', 'ngutang', '', 'utang', 'bayar', 'kalo', 'negara', 'dapet', 'hasil', '', 'hasil', 'negara', 'ya', 'pajak']",negara ngutang bngun infrastruktur udah dipake masyarakat  masyarakat ngeluh negara ngutang  negara ngutang  utang bayar kalo negara dapet hasil  hasil negara ya pajak
netral,yg bisikin pak jokowi cm mikirin perputaran duit di golongan tertentu esports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul yg dikatakan prabowo walau dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi,"['yg', 'bisikin', 'pak', 'jokowi', ',', 'cm', 'mikirin', 'perputaran', 'duit', 'di', 'golongan', 'tertentu', '.', 'e-sports', 'hanya', 'sebagian', 'kecil', 'dr', 'sekian', 'besar', 'penentu', 'pertumbuhan', 'perekonomian', 'indonesia', ',', 'bukan', 'hal', 'fundamental', '.', 'betul', 'yg', 'dikatakan', 'prabowo', ',', 'walau', 'dgn', 'bhs', 'yg', 'sederhana', ',', 'tp', 'mrpkan', 'aspek', 'fundamental', 'ekonomi']","['yg', 'bisikin', 'jokowi', ',', 'cm', 'mikirin', 'perputaran', 'duit', 'golongan', '.', 'e-sports', 'dr', 'sekian', 'penentu', 'pertumbuhan', 'perekonomian', 'indonesia', ',', 'fundamental', '.', 'yg', 'prabowo', ',', 'dgn', 'bhs', 'yg', 'sederhana', ',', 'tp', 'mrpkan', 'aspek', 'fundamental', 'ekonomi']","['yg', 'bisikin', 'jokowi', '', 'cm', 'mikirin', 'putar', 'duit', 'golong', '', 'e-sports', 'dr', 'sekian', 'tentu', 'tumbuh', 'ekonomi', 'indonesia', '', 'fundamental', '', 'yg', 'prabowo', '', 'dgn', 'bhs', 'yg', 'sederhana', '', 'tp', 'mrpkan', 'aspek', 'fundamental', 'ekonomi']",yg bisikin jokowi  cm mikirin putar duit golong  e-sports dr sekian tentu tumbuh ekonomi indonesia  fundamental  yg prabowo  dgn bhs yg sederhana  tp mrpkan aspek fundamental ekonomi
positif,masa tenang msih ngoceh ajattp jokowi harga mati,"['masa', 'tenang', 'msih', 'ngoceh', 'aja', '..', 'ttp', 'jokowi', 'harga', 'mati', '...']","['tenang', 'msih', 'ngoceh', 'aja', '..', 'ttp', 'jokowi', 'harga', 'mati', '...']","['tenang', 'msih', 'ngoceh', 'aja', '', 'ttp', 'jokowi', 'harga', 'mati', '']",tenang msih ngoceh aja  ttp jokowi harga mati 
positif,uasdifitnahkejibalasditps   kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati  uasdifitnahkejibalasditps,"['#uasdifitnahkejibalasditps', 'kerjasa', 'ekonomi', 'bilateral', ',', 'multilateral', 'kita', 'doakan', 'di', 'tps', 'sambil', 'dengarkan', 'suara', 'hati', '...', '#uasdifitnahkejibalasditps']","['#uasdifitnahkejibalasditps', 'kerjasa', 'ekonomi', 'bilateral', ',', 'multilateral', 'doakan', 'tps', 'dengarkan', 'suara', 'hati', '...', '#uasdifitnahkejibalasditps']","['uasdifitnahkejibalasditps', 'kerjasa', 'ekonomi', 'bilateral', '', 'multilateral', 'doa', 'tps', 'dengar', 'suara', 'hati', '', 'uasdifitnahkejibalasditps']",uasdifitnahkejibalasditps kerjasa ekonomi bilateral  multilateral doa tps dengar suara hati  uasdifitnahkejibalasditps
netral,iya bener aa kita mantap kan pilihan ke pemimpin yg bs memberi solusi  bukan yg menyalahkan pemimpin sebelumnya  dismash sm mas bowo percuma koalisi klau mengantam tmn koalisi   yg plg penting pilih pemimpin yg rajin ibadah wajib bisa ngaji  jumatan,"['iya', 'bener', 'aa', ',', 'kita', 'mantap', 'kan', 'pilihan', 'ke', 'pemimpin', 'yg', 'bs', 'memberi', 'solusi', '@jokowi', 'bukan', 'yg', 'menyalahkan', 'pemimpin', 'sebelumnya', '@sbyudhoyono', 'dismash', 'sm', 'mas', 'bowo', ',', 'percuma', 'koalisi', 'klau', 'mengantam', 'tmn', 'koalisi', 'ðÿ', '˜', '‚', '&', 'yg', 'plg', 'penting', 'pilih', 'pemimpin', 'yg', 'rajin', 'ibadah', 'wajib', ',', 'bisa', 'ngaji', '&', 'jumatanðÿ', '™', '\x8f', 'ðÿ', '‘', '\x8d']","['iya', 'bener', 'aa', ',', 'mantap', 'pilihan', 'pemimpin', 'yg', 'bs', 'solusi', '@jokowi', 'yg', 'menyalahkan', 'pemimpin', '@sbyudhoyono', 'dismash', 'sm', 'mas', 'bowo', ',', 'koalisi', 'klau', 'mengantam', 'tmn', 'koalisi', 'ðÿ', '˜', '‚', '&', 'yg', 'plg', 'pilih', 'pemimpin', 'yg', 'rajin', 'ibadah', 'wajib', ',', 'ngaji', '&', 'jumatanðÿ', '™', '\x8f', 'ðÿ', '‘', '\x8d']","['iya', 'bener', 'aa', '', 'mantap', 'pilih', 'pimpin', 'yg', 'bs', 'solusi', 'jokowi', 'yg', 'salah', 'pimpin', 'sbyudhoyono', 'dismash', 'sm', 'mas', 'bowo', '', 'koalisi', 'klau', 'mengantam', 'tmn', 'koalisi', '', '', '', '', 'yg', 'plg', 'pilih', 'pimpin', 'yg', 'rajin', 'ibadah', 'wajib', '', 'ngaji', '', 'jumat', '', '', '', '', '']",iya bener aa  mantap pilih pimpin yg bs solusi jokowi yg salah pimpin sbyudhoyono dismash sm mas bowo  koalisi klau mengantam tmn koalisi     yg plg pilih pimpin yg rajin ibadah wajib  ngaji  jumat     
negatif,prabowosandi sepakat tak ambil gaji karena negara sedang susah     goaceh,"['prabowo-sandi', 'sepakat', 'tak', 'ambil', 'gaji', 'karena', 'negara', 'sedang', 'susah', 'https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterâ', 'â', '€', '¦', '.. ...', '#goaceh']","['prabowo-sandi', 'sepakat', 'ambil', 'gaji', 'negara', 'susah', 'https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterâ', 'â', '€', '¦', '.. ...', '#goaceh']","['prabowo-sandi', 'sepakat', 'ambil', 'gaji', 'negara', 'susah', 'https www goaceh co artikel serbaserbi 2019 04 14 prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah utm source dlvr it utm medium twitter', '', '', '', '', 'goaceh']",prabowo-sandi sepakat ambil gaji negara susah https www goaceh co artikel serbaserbi 2019 04 14 prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah utm source dlvr it utm medium twitter     goaceh
positif,pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pemimpin itu yg udh jelas banyak pencapaiannya nah ini dia  pencapaian ekonomi selama pemerintahan jokowi coblos  yuk kerja pasti    ,"['#pilihorangbaik', '#pilihjelasislamnya', '#pilihbajuputih', 'pilih', 'pemimpin', 'itu', 'yg', 'udh', 'jelas', 'banyak', 'pencapaiannya', '.', 'nah', ',', 'ini', 'dia', '5', 'pencapaian', 'ekonomi', 'selama', 'pemerintahan', 'jokowi', '.', 'coblos', '01', 'yuk', 'kerja', 'pasti', '!', 'https://bit.ly/2ogymxtâ']","['#pilihorangbaik', '#pilihjelasislamnya', '#pilihbajuputih', 'pilih', 'pemimpin', 'yg', 'udh', 'pencapaiannya', '.', ',', '5', 'pencapaian', 'ekonomi', 'pemerintahan', 'jokowi', '.', 'coblos', '01', 'yuk', 'kerja', '!', 'https://bit.ly/2ogymxtâ']","['pilihorangbaik', 'pilihjelasislamnya', 'pilihbajuputih', 'pilih', 'pimpin', 'yg', 'udh', 'capai', '', '', '5', 'capai', 'ekonomi', 'perintah', 'jokowi', '', 'coblos', '01', 'yuk', 'kerja', '', 'https bit ly 2ogymxt']",pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pimpin yg udh capai   5 capai ekonomi perintah jokowi  coblos 01 yuk kerja  https bit ly 2ogymxt
positif,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu bukan berarti memberikan gaji secara cumacuma bagi masyarakat yang belum berpenghasilan jokowikyaimaruf pictwittercomnjhhmiizv,"['calon', 'presiden', 'jokowi', 'menjelaskan', 'program', 'kartu', 'pra', 'kerja', 'akan', 'memberikan', 'insentif', 'dalam', 'kurun', 'waktu', 'tertentu', ',', 'bukan', 'berarti', 'memberikan', 'gaji', 'secara', 'cuma-cuma', 'bagi', 'masyarakat', 'yang', 'belum', 'berpenghasilan', '.', '#2019jokowikyaimaruf', 'pic.twitter.com/nj2hhmiizv']","['calon', 'presiden', 'jokowi', 'program', 'kartu', 'pra', 'kerja', 'insentif', 'kurun', ',', 'gaji', 'cuma-cuma', 'masyarakat', 'berpenghasilan', '.', '#2019jokowikyaimaruf', 'pic.twitter.com/nj2hhmiizv']","['calon', 'presiden', 'jokowi', 'program', 'kartu', 'pra', 'kerja', 'insentif', 'kurun', '', 'gaji', 'cuma', 'masyarakat', 'hasil', '', '2019jokowikyaimaruf', 'pic twitter com nj2hhmiizv']",calon presiden jokowi program kartu pra kerja insentif kurun  gaji cuma masyarakat hasil  2019jokowikyaimaruf pic twitter com nj2hhmiizv
