iter	RMSE
0	74609.92641
1	72512.22612
2	70535.16445
3	68457.03809
4	66481.80055
5	64672.3151
6	62956.22637
7	61277.16901
8	59721.57647
9	58177.08689
10	56711.96388
11	55140.28832
12	53750.56349
13	52377.60483
14	51111.18771
15	49844.54208
16	48705.92485
17	47716.98461
18	46605.70598
19	45545.58829
20	44567.40644
21	43604.92678
22	42680.37436
23	41827.2987
24	41015.9276
25	40248.91207
26	39560.02497
27	38831.44024
28	38187.26968
29	37513.00402
30	36904.40883
31	36347.91806
32	35800.10919
33	35234.94986
34	34718.8116
35	34200.93665
36	33764.76123
37	33254.40172
38	32780.93881
39	32327.03308
40	31944.81076
41	31568.70089
42	31196.08131
43	30785.63625
44	30448.92139
45	30143.2425
46	29793.36383
47	29468.64836
48	29222.03037
49	28944.50081
50	28727.85756
51	28472.31411
52	28207.33222
53	27932.09693
54	27728.94602
55	27495.30172
56	27324.68719
57	27120.88075
58	26921.76122
59	26732.00494
60	26529.79671
61	26361.051
62	26178.38516
63	26008.62912
64	25806.3096
65	25637.46969
66	25520.47445
67	25356.96749
68	25222.31427
69	25109.7538
70	24968.36564
71	24828.19035
72	24689.00033
73	24547.78631
74	24416.29158
75	24280.56267
76	24177.56955
77	24023.14795
78	23919.50207
79	23820.51185
80	23707.15597
81	23581.28654
82	23498.49049
83	23410.02804
84	23333.15016
85	23249.24382
86	23169.02117
87	23077.55671
88	23001.48748
89	22899.02069
90	22826.28038
91	22761.71834
92	22657.53793
93	22575.18705
94	22500.72484
95	22426.51636
96	22355.66452
97	22283.28597
98	22170.37417
99	22090.98005
100	22020.31052
101	21941.51602
102	21867.40511
103	21792.83582
104	21708.39923
105	21656.31921
106	21584.0895
107	21520.42076
108	21471.81332
109	21412.85823
110	21355.31479
111	21298.24197
112	21225.51512
113	21183.90535
114	21130.88709
115	21081.63015
116	21021.71781
117	20968.7688
118	20901.59223
119	20839.13852
120	20774.291
121	20722.14679
122	20678.52374
123	20624.11833
124	20564.40538
125	20531.56497
126	20479.60205
127	20447.35031
128	20399.80717
129	20342.45395
130	20297.06793
131	20257.70576
132	20204.04638
133	20158.9043
134	20140.83401
135	20089.5647
136	20062.45973
137	20023.2978
138	19990.33783
139	19954.41811
140	19902.82948
141	19877.69971
142	19853.95357
143	19792.67648
144	19757.06653
145	19721.30681
146	19673.69384
147	19636.0304
148	19605.12709
149	19584.9564
150	19557.49252
151	19531.54469
152	19506.74855
153	19477.73918
154	19445.30579
155	19405.16407
156	19374.48662
157	19357.84993
158	19309.91674
159	19268.78352
160	19246.82577
161	19202.14542
162	19171.18221
163	19136.78511
164	19096.27452
165	19059.94705
166	19026.00925
167	19004.87459
168	18971.1183
169	18942.8366
170	18910.05804
171	18897.70088
172	18853.1809
173	18816.30299
174	18784.60629
175	18757.69165
176	18720.51682
177	18690.82676
178	18647.10816
179	18618.81467
180	18590.99283
181	18547.62224
182	18507.02262
183	18464.53133
184	18438.54783
185	18409.77016
186	18393.12417
187	18364.97671
188	18345.9795
189	18332.78667
190	18321.07835
191	18291.7691
192	18275.91586
193	18241.83541
194	18219.83359
195	18179.71707
196	18143.83597
197	18123.07894
198	18094.56652
199	18043.91176
200	18030.30951
201	17995.41186
202	17964.08308
203	17931.01891
204	17900.38166
205	17871.31136
206	17861.24003
207	17832.40739
208	17821.48117
209	17797.93258
210	17789.38502
211	17754.65002
212	17729.19746
213	17694.85651
214	17672.52314
215	17655.55134
216	17625.22229
217	17592.59983
218	17563.09218
219	17542.85208
220	17526.29866
221	17495.88531
222	17462.67473
223	17424.05869
224	17385.4686
225	17360.80052
226	17354.25917
227	17322.72737
228	17286.54042
229	17268.49453
230	17241.20859
231	17216.05031
232	17176.05099
233	17140.96126
234	17118.89734
235	17081.56464
236	17065.7599
237	17036.28835
238	16994.48736
239	16949.57004
240	16911.18938
241	16906.34441
242	16887.10531
243	16855.00948
244	16821.70556
245	16816.79837
246	16780.39281
247	16747.10188
248	16714.30156
249	16703.46889
250	16675.77225
251	16653.03916
252	16627.40161
253	16605.72571
254	16575.43967
255	16547.57053
256	16543.44938
257	16532.51998
258	16511.00251
259	16483.66406
260	16461.69502
261	16457.58901
262	16430.58784
263	16401.48317
264	16379.13534
265	16358.96017
266	16334.47289
267	16309.2334
268	16275.36804
269	16271.46148
270	16236.64089
271	16232.74859
272	16225.77644
273	16204.276
274	16172.88406
275	16149.11938
276	16137.76254
277	16110.56894
278	16103.86301
279	16079.92573
280	16046.79723
281	16021.13829
282	15999.01929
283	15976.17285
284	15948.03912
285	15944.59557
286	15905.82661
287	15881.61354
288	15850.33027
289	15823.82623
290	15817.67336
291	15782.19977
292	15778.91947
293	15775.72718
294	15753.19459
295	15729.81474
296	15711.25749
297	15681.1846
298	15661.11791
299	15633.66676
300	15630.73939
301	15593.72746
302	15560.13654
303	15547.32987
304	15544.31466
305	15526.51515
306	15497.78814
307	15471.21636
308	15468.47083
309	15446.02764
310	15443.01838
311	15426.57908
312	15403.71433
313	15380.60278
314	15358.82911
315	15334.4369
316	15304.31291
317	15301.86948
318	15266.62353
319	15263.79899
320	15242.3833
321	15215.4772
322	15196.23432
323	15173.81571
324	15153.23146
325	15131.84922
326	15099.62393
327	15080.2639
328	15042.06519
